7,16255
57,40233
25,39930
535,23344
575,7018
666,9870
798,7861
798,13230
798,27484
965,5155
1092,24117
215,42786
1491,35454
1598,14637
1828,32338
2598,28480
3093,27241
3211,13096
3211,43225
3243,3615
44261,41053
44301,37569
3708,37173
4007,7324
4152,999
4658,46540
4704,18896
4826,38749
5155,965
5372,32902
5561,21704
5801,30664
5825,11879
5825,20128
5834,35297
6054,20370
6406,19167
6519,22400
6597,5647
7000,26192
7000,17174
7000,21955
7000,13389
7018,575
7079,29621
7102,40875
7324,4007
7772,22705
7826,47006
7861,798
7905,23880
8038,13017
23186,8631
23186,44443
8144,37412
8236,12429
8631,44443
8631,23186
8854,14729
8854,20044
8960,18109
9039,32475
9218,42377
9295,31519
9387,42891
9561,31112
9629,31459
9870,666
23513,48781
23513,24867
10181,27607
10560,15599
10865,47872
11536,37808
11568,13600
11572,14729
11602,42133
11663,41273
11663,17376
11879,5825
11879,20128
11970,33118
12100,34885
12429,8236
2085,47524
12797,34248
13017,8038
13057,32641
13230,798
13230,36184
13389,7000
13600,11568
13600,36542
13622,44688
14518,38502
14628,15135
14637,1598
14728,26050
14728,27980
14729,11572
14729,8854
14800,44159
14989,48276
14989,15135
15135,14628
15135,14989
15135,37809
15204,16345
15533,26976
15599,10560
15632,38671
15913,19675
15913,25265
15913,37637
16255,7
16345,15204
2769,4913
17040,17983
17174,7000
17376,11663
17776,42786
17983,17040
46688,46686
18109,8960
18113,22473
18122,29015
18273,19314
18375,19236
18375,42864
18437,46071
18437,48174
18556,16245
18896,4704
19167,6406
19242,47214
19314,18273
19320,25917
19515,32307
19532,45264
19675,15913
19693,32467
19793,23446
20044,8854
20202,37569
20276,4869
20333,43214
20370,6054
20803,18990
21141,26108
21277,26022
3615,3243
21704,5561
21937,27159
21955,7000
22247,28329
22400,6519
22473,18113
22705,7772
23344,535
23446,19793
23583,28087
23826,41013
23880,7905
24117,1092
24127,33032
24565,41273
24867,23513
25265,37637
25265,15913
25883,44053
25917,19320
25977,35220
26022,21277
26050,14728
26050,27980
26192,7000
26108,21141
26165,40581
26415,39940
26434,34031
26976,15533
27159,21937
27201,25706
27241,3093
27484,798
26426,47016
27607,48333
27607,10181
27969,40815
27980,14728
27980,26050
28087,23583
28329,22247
28480,2598
31508,26685
29015,18122
26685,31508
29045,17167
4869,20276
29621,7079
29759,42495
999,4152
30045,36863
30055,44676
30231,34856
30451,36103
30491,47812
30605,46529
31112,9561
31519,9295
31685,39783
32307,19515
32338,1828
32467,19693
32475,9039
32641,13057
32902,5372
32989,39328
33032,24127
33118,11970
33218,43095
34031,26434
34205,11916
34248,12797
34608,15769
34856,30231
34967,47214
35220,25977
35238,41013
35297,5834
35454,1491
35553,29499
35656,44619
35736,46172
5964,32857
5998,39148
36030,45073
36103,30451
36184,13230
36542,13600
36863,30045
36994,45653
37173,3708
37412,8144
37569,20202
37569,44301
37637,25265
37637,15913
37808,11536
37809,15135
38502,14518
5647,6597
38671,15632
38749,4826
39148,5998
39328,32989
39473,47168
39646,40852
39783,31685
39930,25
40233,57
40329,40904
40498,46774
40815,27969
40875,7102
40904,40329
41013,23826
41013,35238
41018,9135
41053,44261
41273,11663
41273,24565
41542,49552
42133,48537
42133,38056
42133,11602
42377,9218
42495,29759
42786,17776
42786,215
42864,18375
43021,31177
43095,33218
43214,20333
43225,3211
43225,13096
43672,18963
44053,25883
44159,14800
44443,8631
44443,23186
44489,47801
44619,45084
44619,35656
44676,30055
44688,13622
45073,36030
45084,44619
45264,19532
7549,48801
45653,36994
29499,35553
45949,24701
46071,18437
46071,48174
46172,35736
46529,30605
46529,26571
46540,4658
46686,46688
46774,40498
47006,7826
47016,26426
47168,39473
47214,19242
47214,34967
